Date,Count,Point
2011-10-06,8,Сыктывкар-1
2011-10-07,88,Сыктывкар-1
2011-10-09,1,Сыктывкар-1
2011-11-15,1,Сыктывкар-1
2011-12-08,2,Сыктывкар-1
2011-12-09,43,Сыктывкар-1
2011-12-10,10,Сыктывкар-1
2011-12-11,1,Сыктывкар-1
2011-12-13,60,Сыктывкар-1
2011-12-14,83,Сыктывкар-1
2011-12-15,96,Сыктывкар-1
2011-12-16,134,Сыктывкар-1
2011-12-17,112,Сыктывкар-1
2011-12-18,100,Сыктывкар-1
2011-12-19,82,Сыктывкар-1
2011-12-20,73,Сыктывкар-1
2011-12-21,94,Сыктывкар-1
2011-12-22,94,Сыктывкар-1
2011-12-23,129,Сыктывкар-1
2011-12-24,164,Сыктывкар-1
2011-12-25,122,Сыктывкар-1
2011-12-26,112,Сыктывкар-1
2011-12-27,98,Сыктывкар-1
2011-12-28,128,Сыктывкар-1
2011-12-29,172,Сыктывкар-1
2011-12-30,223,Сыктывкар-1
2011-12-31,68,Сыктывкар-1
2012-01-01,100,Сыктывкар-1
2012-01-02,169,Сыктывкар-1
2012-01-03,142,Сыктывкар-1
2012-01-04,130,Сыктывкар-1
2012-01-05,119,Сыктывкар-1
2012-01-06,128,Сыктывкар-1
2012-01-07,128,Сыктывкар-1
2012-01-08,136,Сыктывкар-1
2012-01-09,105,Сыктывкар-1
2012-01-10,129,Сыктывкар-1
2012-01-11,101,Сыктывкар-1
2012-01-12,114,Сыктывкар-1
2012-01-13,215,Сыктывкар-1
2012-01-14,174,Сыктывкар-1
2012-01-15,123,Сыктывкар-1
2012-01-16,111,Сыктывкар-1
2012-01-17,99,Сыктывкар-1
2012-01-18,113,Сыктывкар-1
2012-01-19,135,Сыктывкар-1
2012-01-20,163,Сыктывкар-1
2012-01-21,218,Сыктывкар-1
2012-01-22,162,Сыктывкар-1
2012-01-23,114,Сыктывкар-1
2012-01-24,122,Сыктывкар-1
2012-01-25,149,Сыктывкар-1
2012-01-26,111,Сыктывкар-1
2012-01-27,165,Сыктывкар-1
2012-01-28,163,Сыктывкар-1
2012-01-29,157,Сыктывкар-1
2012-01-30,86,Сыктывкар-1
2012-01-31,109,Сыктывкар-1
2012-02-01,142,Сыктывкар-1
2012-02-02,92,Сыктывкар-1
2012-02-03,173,Сыктывкар-1
2012-02-04,171,Сыктывкар-1
2012-02-05,131,Сыктывкар-1
2012-02-06,98,Сыктывкар-1
2012-02-07,89,Сыктывкар-1
2012-02-08,100,Сыктывкар-1
2012-02-09,91,Сыктывкар-1
2012-02-10,141,Сыктывкар-1
2012-02-11,163,Сыктывкар-1
2012-02-12,137,Сыктывкар-1
2012-02-13,105,Сыктывкар-1
2012-02-14,145,Сыктывкар-1
2012-02-15,97,Сыктывкар-1
2012-02-16,103,Сыктывкар-1
2012-02-17,138,Сыктывкар-1
2012-02-18,167,Сыктывкар-1
2012-02-19,127,Сыктывкар-1
2012-02-20,99,Сыктывкар-1
2012-02-21,110,Сыктывкар-1
2012-02-22,268,Сыктывкар-1
2012-02-23,239,Сыктывкар-1
2012-02-24,136,Сыктывкар-1
2012-02-25,156,Сыктывкар-1
2012-02-26,112,Сыктывкар-1
2012-02-27,100,Сыктывкар-1
2012-02-28,91,Сыктывкар-1
2012-02-29,67,Сыктывкар-1
2012-03-01,95,Сыктывкар-1
2012-03-02,153,Сыктывкар-1
2012-03-03,162,Сыктывкар-1
2012-03-04,136,Сыктывкар-1
2012-03-05,95,Сыктывкар-1
2012-03-06,87,Сыктывкар-1
2012-03-07,285,Сыктывкар-1
2012-03-08,237,Сыктывкар-1
2012-03-09,130,Сыктывкар-1
2012-03-10,141,Сыктывкар-1
2012-03-11,128,Сыктывкар-1
2012-03-12,95,Сыктывкар-1
2012-03-13,115,Сыктывкар-1
2012-03-14,90,Сыктывкар-1
2012-03-15,98,Сыктывкар-1
2012-03-16,135,Сыктывкар-1
2012-03-17,169,Сыктывкар-1
2012-03-18,152,Сыктывкар-1
2012-03-19,107,Сыктывкар-1
2012-03-20,104,Сыктывкар-1
2012-03-21,104,Сыктывкар-1
2012-03-22,117,Сыктывкар-1
2012-03-23,151,Сыктывкар-1
2012-03-24,145,Сыктывкар-1
2012-03-25,120,Сыктывкар-1
2012-03-26,98,Сыктывкар-1
2012-03-27,93,Сыктывкар-1
2012-03-28,89,Сыктывкар-1
2012-03-29,112,Сыктывкар-1
2012-03-30,134,Сыктывкар-1
2012-03-31,159,Сыктывкар-1
2012-04-01,185,Сыктывкар-1
2012-04-02,108,Сыктывкар-1
2012-04-03,124,Сыктывкар-1
2012-04-04,145,Сыктывкар-1
2012-04-05,135,Сыктывкар-1
2012-04-06,170,Сыктывкар-1
2012-04-07,163,Сыктывкар-1
2012-04-08,143,Сыктывкар-1
2012-04-09,77,Сыктывкар-1
2012-04-10,113,Сыктывкар-1
2012-04-11,143,Сыктывкар-1
2012-04-12,147,Сыктывкар-1
2012-04-13,169,Сыктывкар-1
2012-04-14,161,Сыктывкар-1
2012-04-15,118,Сыктывкар-1
2012-04-16,93,Сыктывкар-1
2012-04-17,137,Сыктывкар-1
2012-04-18,123,Сыктывкар-1
2012-04-19,152,Сыктывкар-1
2012-04-20,185,Сыктывкар-1
2012-04-21,177,Сыктывкар-1
2012-04-22,151,Сыктывкар-1
2012-04-23,124,Сыктывкар-1
2012-04-24,135,Сыктывкар-1
2012-04-25,136,Сыктывкар-1
2012-04-26,131,Сыктывкар-1
2012-04-27,148,Сыктывкар-1
2012-04-28,186,Сыктывкар-1
2012-04-29,167,Сыктывкар-1
2012-04-30,129,Сыктывкар-1
2012-05-01,149,Сыктывкар-1
2012-05-02,116,Сыктывкар-1
2012-05-03,117,Сыктывкар-1
2012-05-03,15,Сыктывкар-2
2012-05-04,8,Сыктывкар-2
2012-05-04,96,Сыктывкар-1
2012-05-05,241,Сыктывкар-1
