Date,Point,Count
03.08.2016,Самара-5,113.0
05.10.2015,Сарапул-1,38.0
18.08.2016,Челябинск-1,99.0
11.01.2014,Ульяновск-1,104.0
07.12.2015,Реутов-1,41.0
27.04.2016,Ханты-Мансийск-1,56.0
31.07.2014,Самара-1,109.0
02.10.2016,Уссурийск-1,243.0
05.06.2016,Колпино-1,108.0
07.06.2016,Благовещенск-1,44.0
15.03.2016,Березники-1,82.0
21.06.2016,Петрозаводск-1,45.0
25.01.2016,Альметьевск-1,49.0
30.09.2016,Ухта-2,44.0
17.04.2016,Нижнекамск-1,137.0
02.02.2016,Одинцово-1,69.0
29.07.2014,Энгельс-1,37.0
01.08.2016,Астрахань-1,56.0
15.08.2015,Махачкала-1,142.0
24.05.2016,Самара-2,246.0
31.05.2016,Абакан-1,54.0
10.08.2016,Уссурийск-1,160.0
03.01.2016,Ангарск-1,76.0
10.04.2016,Калуга-1,165.0
17.09.2014,Октябрьский-1,90.0
06.01.2015,Альметьевск-1,84.0
13.09.2015,Бугульма-1,142.0
30.10.2015,Щелково-1,1.0
08.09.2016,Челябинск-2,83.0
23.05.2016,Махачкала-1,106.0
10.09.2015,Нижнекамск-1,49.0
25.02.2016,Смоленск-3,53.0
29.04.2014,Белгород-1,73.0
19.03.2014,Сыктывкар-4,34.0
23.10.2013,Челябинск-1,52.0
20.01.2016,Калининград-1,80.0
02.03.2013,Самара-1,111.0
14.07.2016,Нахабино-1,68.0
02.10.2015,Сыктывкар-5,45.0
20.05.2016,Домодедово-1,110.0
21.04.2015,Тюмень-1,55.0
28.09.2016,Москва 1-5,54.0
02.08.2015,Самара-4,223.0
13.01.2016,Таганрог-1,189.0
20.02.2016,Сыктывкар-5,43.0
08.09.2016,Радужный-1,25.0
31.10.2015,Сыктывкар-5,64.0
28.06.2016,Новочебоксарск-1,39.0
03.04.2016,Смоленск-1,183.0
14.05.2016,Сургут-1,274.0
12.02.2016,Сургут-1,223.0
19.01.2016,Абакан-1,52.0
06.05.2015,Самара-2,130.0
24.08.2016,Нижневартовск-1,81.0
20.12.2015,Абакан-1,83.0
05.02.2016,Энгельс-1,51.0
07.10.2016,Челябинск-2,171.0
20.09.2016,Нефтеюганск-1,170.0
11.07.2016,Сыктывкар-6,12.0
21.09.2016,Смоленск-1,139.0
25.11.2015,Муром-1,46.0
23.04.2013,Сарапул-1,46.0
22.08.2015,Сыктывкар-4,94.0
27.09.2014,Октябрьский-1,105.0
07.09.2015,Домодедово-1,4.0
16.10.2016,Гатчина-1,166.0
22.12.2015,Смоленск-3,49.0
23.07.2013,Смоленск-2,2.0
18.06.2012,Сыктывкар-2,33.0
12.10.2016,Ангарск-1,55.0
27.08.2016,Шахты-1,81.0
14.07.2014,Ухта-1,157.0
28.01.2015,Нижнекамск-1,13.0
29.07.2016,Комсомольск-на-Амуре-1,198.0
15.05.2013,Сыктывкар-1,223.0
21.02.2016,Калуга-1,200.0
12.10.2014,Энгельс-1,36.0
01.12.2015,Долгопрудный-1,145.0
03.03.2015,Белгород-1,70.0
18.08.2016,Реутов-1,105.0
22.09.2016,Калининград-1,82.0
12.09.2015,Сыктывкар-3,112.0
23.07.2014,Сыктывкар-2,75.0
02.05.2014,Красноярск-1,18.0
12.12.2015,Сургут-1,141.0
15.09.2014,Белгород-1,78.0
