Date,Point,Count
03.08.2016,Самара-5,113
05.10.2015,Сарапул-1,38
18.08.2016,Челябинск-1,99
11.01.2014,Ульяновск-1,104
07.12.2015,Реутов-1,41
27.04.2016,Ханты-Мансийск-1,56
31.07.2014,Самара-1,109
02.10.2016,Уссурийск-1,243
05.06.2016,Колпино-1,108
07.06.2016,Благовещенск-1,44
15.03.2016,Березники-1,82
21.06.2016,Петрозаводск-1,45
25.01.2016,Альметьевск-1,49
30.09.2016,Ухта-2,44
17.04.2016,Нижнекамск-1,137
02.02.2016,Одинцово-1,69
29.07.2014,Энгельс-1,37
01.08.2016,Астрахань-1,56
15.08.2015,Махачкала-1,142
24.05.2016,Самара-2,246
31.05.2016,Абакан-1,54
10.08.2016,Уссурийск-1,160
03.01.2016,Ангарск-1,76
10.04.2016,Калуга-1,165
17.09.2014,Октябрьский-1,90
06.01.2015,Альметьевск-1,84
13.09.2015,Бугульма-1,142
30.10.2015,Щелково-1,1
08.09.2016,Челябинск-2,83
23.05.2016,Махачкала-1,106
10.09.2015,Нижнекамск-1,49
25.02.2016,Смоленск-3,53
29.04.2014,Белгород-1,73
19.03.2014,Сыктывкар-4,34
23.10.2013,Челябинск-1,52
20.01.2016,Калининград-1,80
02.03.2013,Самара-1,111
14.07.2016,Нахабино-1,68
02.10.2015,Сыктывкар-5,45
20.05.2016,Домодедово-1,110
21.04.2015,Тюмень-1,55
28.09.2016,Москва 1-5,54
02.08.2015,Самара-4,223
13.01.2016,Таганрог-1,189
20.02.2016,Сыктывкар-5,43
08.09.2016,Радужный-1,25
31.10.2015,Сыктывкар-5,64
28.06.2016,Новочебоксарск-1,39
03.04.2016,Смоленск-1,183
14.05.2016,Сургут-1,274
12.02.2016,Сургут-1,223
19.01.2016,Абакан-1,52
06.05.2015,Самара-2,130
24.08.2016,Нижневартовск-1,81
20.12.2015,Абакан-1,83
05.02.2016,Энгельс-1,51
07.10.2016,Челябинск-2,171
20.09.2016,Нефтеюганск-1,170
11.07.2016,Сыктывкар-6,12
21.09.2016,Смоленск-1,139
25.11.2015,Муром-1,46
23.04.2013,Сарапул-1,46
22.08.2015,Сыктывкар-4,94
27.09.2014,Октябрьский-1,105
07.09.2015,Домодедово-1,4
16.10.2016,Гатчина-1,166
22.12.2015,Смоленск-3,49
23.07.2013,Смоленск-2,2
18.06.2012,Сыктывкар-2,33
12.10.2016,Ангарск-1,55
27.08.2016,Шахты-1,81
14.07.2014,Ухта-1,157
28.01.2015,Нижнекамск-1,13
29.07.2016,Комсомольск-на-Амуре-1,198
15.05.2013,Сыктывкар-1,223
21.02.2016,Калуга-1,200
12.10.2014,Энгельс-1,36
01.12.2015,Долгопрудный-1,145
03.03.2015,Белгород-1,70
18.08.2016,Реутов-1,105
22.09.2016,Калининград-1,82
12.09.2015,Сыктывкар-3,112
23.07.2014,Сыктывкар-2,75
02.05.2014,Красноярск-1,18
12.12.2015,Сургут-1,141
15.09.2014,Белгород-1,78
21.09.2016,Нефтеюганск-1,154
14.03.2016,Тверь-1,24
30.05.2015,Смоленск-3,114
23.05.2015,Челябинск-1,145
05.12.2015,Саратов-1,168
23.05.2015,Таганрог-1,175
27.11.2015,Сургут-1,157
23.03.2016,Чайковский-1,26
10.09.2015,Астрахань-1,35
05.10.2014,Ульяновск-1,112
08.01.2014,Сыктывкар-3,152
16.10.2016,Раменское-1,88
27.04.2014,Белгород-1,84
05.03.2016,Октябрьский-1,107
04.01.2016,Гатчина-1,114
01.02.2016,Нижневартовск-1,79
30.05.2015,Гатчина-1,68
14.05.2016,Самара-5,87
26.12.2014,Белгород-1,169
01.07.2016,Астрахань-1,89
08.03.2016,Гатчина-2,147
07.07.2015,Калининград-1,53
30.09.2016,Лобня-1,157
09.08.2016,Ханты-Мансийск-1,45
22.02.2013,Ухта-1,206
25.04.2016,Сыктывкар-5,39
26.12.2015,Сыктывкар-3,211
05.06.2016,Нижневартовск-1,89
20.06.2015,Белгород-1,122
14.06.2015,Смоленск-2,124
06.06.2016,Самара-1,189
25.03.2015,Майкоп-1,68
18.10.2015,Астрахань-1,54
06.03.2016,Ханты-Мансийск-1,58
04.08.2013,Смоленск-2,7
23.09.2015,Реутов-1,41
12.11.2014,Таганрог-1,88
18.06.2016,Бугульма-1,107
08.06.2016,Шахты-1,61
24.06.2015,Сыктывкар-4,51
31.01.2014,Челябинск-1,74
13.11.2015,Ростов-на-Дону-2,107
10.05.2016,Уссурийск-1,129
10.12.2015,Гатчина-1,53
20.07.2016,Калининград-1,108
11.03.2016,Тверь-1,32
25.11.2015,Самара-2,160
05.08.2015,Самара-2,167
13.01.2016,Березники-1,85
12.06.2013,Белгород-1,60
22.11.2012,Самара-1,30
26.07.2015,Ухта-1,214
24.03.2014,Ульяновск-1,76
03.09.2016,Нижнекамск-1,92
23.08.2016,Ростов-на-Дону-2,107
14.06.2014,Сыктывкар-1,230
03.05.2016,Калининград-2,93
31.05.2016,Самара-5,127
04.08.2015,Ростов-на-Дону-1,81
15.06.2015,Таганрог-1,139
11.06.2016,Сыктывкар-5,50
04.03.2016,Тюмень-1,285
24.03.2015,Ульяновск-1,52
20.04.2013,Сарапул-1,88
31.12.2015,Железнодорожный-1,24
12.10.2016,Гатчина-1,84
10.06.2016,Новороссийск-1,161
09.10.2014,Самара-1,141
06.05.2016,Сочи-1,68
28.07.2013,Сыктывкар-1,374
18.02.2016,Самара-2,162
21.06.2015,Королев-1,77
01.06.2015,Химки-1,83
03.05.2016,Самара-2,270
21.04.2014,Сыктывкар-4,29
09.11.2012,Самара-1,30
13.06.2013,Самара-1,56
18.02.2013,Челябинск-1,46
05.03.2016,Челябинск-2,110
22.11.2015,Самара-2,272
30.01.2013,Челябинск-1,42
03.07.2016,Шахты-1,89
16.09.2015,Колпино-1,59
01.05.2013,Белгород-1,37
05.11.2013,Ухта-1,99
06.03.2016,Таганрог-1,325
21.05.2016,Вологда-1,102
11.12.2015,Балашиха-1,80
12.10.2015,Смоленск-2,143
31.10.2015,Королев-1,239
04.10.2016,Нахабино-1,66
05.02.2016,Чайковский-1,61
14.10.2016,Сыктывкар-2,119
18.09.2015,Сыктывкар-5,31
12.09.2014,Сыктывкар-4,32
07.02.2016,Челябинск-1,104
14.04.2014,Сыктывкар-1,167
15.12.2015,Новочебоксарск-1,35
16.12.2012,Сыктывкар-1,333
21.02.2016,Муром-1,91
18.08.2016,Альметьевск-1,101
18.03.2013,Челябинск-1,59
28.03.2015,Ростов-на-Дону-1,143
20.03.2016,Калуга-1,149
08.08.2016,Ухта-1,168
02.11.2015,Бугульма-1,88
13.01.2016,Щелково-1,19
29.09.2016,Майкоп-1,125
10.03.2015,Химки-1,40
02.02.2015,Самара-1,109
08.12.2014,Сыктывкар-3,60
12.12.2015,Щелково-1,42
28.01.2016,Ухта-1,204
24.09.2015,Тюмень-1,127
03.02.2014,Сыктывкар-1,180
22.06.2016,Гатчина-2,51
11.12.2014,Королев-1,8
24.05.2012,Сыктывкар-2,31
12.03.2016,Альметьевск-1,103
27.05.2016,Ульяновск-1,107
02.06.2015,Челябинск-1,104
27.10.2014,Октябрьский-1,79
26.07.2016,Ростов-на-Дону-3,69
20.12.2015,Ростов-на-Дону-1,141
09.03.2016,Самара-3,257
27.12.2014,Энгельс-1,61
08.02.2013,Сыктывкар-2,31
01.10.2016,Тольятти-1,498
24.07.2016,Таганрог-1,295
28.03.2013,Самара-1,44
05.06.2014,Самара-2,119
14.10.2016,Северск-1,103
27.12.2015,Новочебоксарск-1,70
11.03.2016,Альметьевск-1,70
01.10.2016,Тюмень-2,204
13.07.2014,Энгельс-1,41
13.10.2016,Уфа-1,86
06.06.2016,Таганрог-1,212
14.02.2014,Самара-1,200
28.09.2016,Железнодорожный-1,107
10.06.2016,Комсомольск-на-Амуре-1,191
16.10.2016,Балаково-1,111
13.07.2016,Смоленск-1,162
03.01.2016,Махачкала-1,149
01.05.2016,Сочи-1,76
03.06.2016,Энгельс-1,60
01.04.2016,Нефтекамск-1,53
11.07.2014,Челябинск-1,99
03.05.2016,Сыктывкар-5,25
15.04.2016,Всеволожск-1,61
16.07.2015,Ачинск-1,70
18.09.2014,Таганрог-1,82
05.01.2016,Железнодорожный-1,88
17.12.2015,Волжский-1,86
06.03.2016,Уссурийск-1,202
20.05.2015,Альметьевск-1,60
20.09.2015,Долгопрудный-1,226
08.04.2016,Тобольск-1,65
08.09.2015,Комсомольск-на-Амуре-1,39
05.03.2016,Домодедово-1,140
14.05.2016,Майкоп-1,74
12.10.2016,Ачинск-1,131
02.05.2016,Вельск-1,70
28.12.2015,Москва 1-1,17
24.11.2014,Сыктывкар-1,195
04.08.2016,Тюмень-1,104
18.06.2016,Выборг-1,109
08.05.2016,Благовещенск-1,39
03.05.2014,Сыктывкар-3,132
13.10.2015,Домодедово-1,29
11.09.2016,Ухта-1,285
17.06.2016,Домодедово-1,85
20.04.2013,Ухта-1,158
14.02.2014,Ульяновск-1,173
02.03.2014,Таганрог-1,97
30.09.2016,Уссурийск-1,132
25.05.2016,Новокуйбышевск-1,150
07.03.2016,Колпино-1,114
02.10.2016,Химки-1,128
17.08.2016,Альметьевск-1,62
21.10.2015,Майкоп-1,100
18.07.2015,Сарапул-1,76
02.09.2015,Новороссийск-1,65
09.12.2014,Майкоп-1,36
08.09.2015,Химки-1,75
30.05.2014,Энгельс-1,32
06.08.2015,Сыктывкар-2,75
03.10.2016,Балаково-1,54
07.05.2014,Красноярск-1,25
20.12.2012,Ухта-1,69
24.09.2015,Нижневартовск-1,27
01.03.2015,Ухта-1,271
16.11.2015,Сыктывкар-5,21
10.09.2016,Сыктывкар-6,2
28.01.2016,Реутов-1,68
25.01.2016,Самара-1,145
14.03.2016,Москва 1-1,31
25.12.2014,Сарапул-1,67
02.03.2014,Самара-2,156
29.04.2016,Смоленск-2,152
02.02.2016,Белгород-1,60
05.07.2015,Сыктывкар-3,102
09.10.2016,Ростов-на-Дону-3,141
01.12.2015,Сыктывкар-1,169
08.10.2016,Челябинск-2,199
24.01.2015,Белгород-1,150
12.02.2016,Зеленоград-1,84
21.01.2013,Белгород-1,27
28.06.2015,Уссурийск-1,86
02.02.2015,Королев-1,24
11.11.2015,Сыктывкар-1,187
06.10.2016,Бугульма-1,78
02.04.2016,Нефтекамск-1,45
10.07.2016,Майкоп-1,100
22.10.2015,Белгород-1,76
30.09.2016,Ангарск-1,81
29.05.2016,Смоленск-1,155
04.09.2014,Долгопрудный-1,84
31.03.2016,Сыктывкар-3,67
26.11.2014,Белгород-1,62
22.04.2013,Сарапул-1,59
25.02.2016,Чайковский-1,30
24.10.2015,Самара-3,322
09.10.2016,Самара-2,458
29.09.2015,Энгельс-1,25
27.05.2016,Бугульма-1,98
29.09.2016,Реутов-1,111
10.12.2014,Сыктывкар-3,83
25.06.2016,Тверь-1,58
23.06.2016,Самара-5,162
02.02.2016,Ухта-1,197
20.09.2016,Новоалтайск-1,15
31.08.2016,Астрахань-1,72
23.01.2016,Самара-4,349
07.08.2016,Тюмень-1,116
02.09.2016,Самара-5,206
23.05.2013,Смоленск-2,24
11.11.2015,Реутов-1,54
03.05.2015,Самара-4,204
06.09.2016,Калуга-1,80
07.12.2012,Самара-1,58
08.10.2015,Домодедово-1,31
19.10.2015,Балашиха-1,34
02.02.2016,Астрахань-1,55
22.06.2013,Смоленск-2,23
26.09.2015,Челябинск-1,165
20.06.2016,Калуга-1,120
21.02.2016,Зеленоград-1,112
01.06.2015,Нижнекамск-1,65
15.10.2016,Абинск-1,120
02.06.2015,Астрахань-1,17
15.09.2015,Сыктывкар-3,63
31.10.2015,Ульяновск-2,202
16.07.2015,Самара-2,239
11.09.2015,Нижнекамск-1,74
20.07.2016,Тольятти-1,243
14.10.2016,Ухта-2,40
05.12.2015,Калининград-1,128
08.02.2016,Уссурийск-1,55
13.01.2016,Октябрьский-1,93
12.08.2015,Мытищи-1,39
31.08.2016,Лениногорск-1,32
17.07.2016,Гатчина-2,82
06.01.2014,Ухта-1,162
27.08.2016,Ижевск-1,30
26.09.2015,Энгельс-1,59
28.07.2016,Уфа-1,73
15.08.2015,Ульяновск-1,82
09.09.2016,Зеленокумск-1,36
06.05.2016,Одинцово-1,144
23.09.2016,Реутов-1,197
22.11.2014,Челябинск-1,110
02.10.2016,Самара-4,361
31.07.2015,Гатчина-1,64
26.12.2015,Железнодорожный-1,128
07.04.2016,Выборг-1,55
08.12.2014,Сыктывкар-2,58
23.02.2016,Нижневартовск-1,145
12.04.2015,Сыктывкар-4,71
21.05.2015,Самара-3,174
18.03.2016,Калуга-1,172
11.03.2016,Салават-1,17
08.11.2012,Ухта-1,47
14.09.2016,Щелково-1,25
14.10.2016,Домодедово-1,100
29.05.2016,Нефтекамск-1,67
14.05.2016,Сыктывкар-5,61
11.05.2015,Смоленск-1,92
29.12.2015,Таганрог-1,239
29.05.2016,Лобня-1,138
08.06.2016,Тюмень-1,113
02.09.2015,Самара-1,107
02.08.2016,Лобня-1,136
11.07.2016,Тюмень-2,89
03.01.2016,Ростов-на-Дону-1,155
20.05.2016,Сыктывкар-4,53
27.05.2016,Тверь-1,100
09.07.2015,Гатчина-1,46
31.08.2015,Белгород-1,64
19.07.2016,Нефтекамск-1,39
03.03.2016,Домодедово-1,57
20.05.2014,Сарапул-1,55
29.02.2016,Комсомольск-на-Амуре-1,64
04.04.2015,Нижнекамск-1,42
22.09.2015,Чайковский-1,44
08.08.2016,Лениногорск-1,42
08.10.2016,Тверь-1,195
26.09.2016,Майкоп-1,76
09.04.2016,Лобня-1,115
09.04.2016,Сыктывкар-2,121
07.07.2015,Гатчина-1,49
