Point,CityName,CityID,BranchNumber
Сыктывкар-1,Сыктывкар,0,1
Сыктывкар-2,Сыктывкар,0,2
Ухта-1,Ухта,1,1
Смоленск-1,Смоленск,2,1
Сарапул-1,Сарапул,3,1
Самара-1,Самара,4,1
Челябинск-1,Челябинск,5,1
Белгород-1,Белгород,6,1
Смоленск-2,Смоленск,2,2
Самара-2,Самара,4,2
Ульяновск-1,Ульяновск,7,1
Сыктывкар-3,Сыктывкар,0,3
Октябрьский-1,Октябрьский,8,1
Сыктывкар-4,Сыктывкар,0,4
Долгопрудный-1,Долгопрудный,9,1
Таганрог-1,Таганрог,10,1
Энгельс-1,Энгельс,11,1
Красноярск-1,Красноярск,12,1
Абакан-1,Абакан,13,1
Ульяновск-2,Ульяновск,7,2
Майкоп-1,Майкоп,14,1
Самара-3,Самара,4,3
Нижнекамск-1,Нижнекамск,15,1
Королев-1,Королев,16,1
Ростов-на-Дону-1,Ростов-на-Дону,17,1
Гатчина-1,Гатчина,18,1
Альметьевск-1,Альметьевск,19,1
Смоленск-3,Смоленск,2,3
Химки-1,Химки,20,1
Махачкала-1,Махачкала,21,1
Тюмень-1,Тюмень,22,1
Бугульма-1,Бугульма,23,1
Уссурийск-1,Уссурийск,24,1
Сыктывкар-5,Сыктывкар,0,5
Самара-4,Самара,4,4
Колпино-1,Колпино,25,1
Астрахань-1,Астрахань,26,1
Новороссийск-1,Новороссийск,27,1
Мытищи-1,Мытищи,28,1
Ачинск-1,Ачинск,29,1
Волжский-1,Волжский,30,1
Муром-1,Муром,31,1
Калининград-1,Калининград,32,1
Березники-1,Березники,33,1
Ростов-на-Дону-2,Ростов-на-Дону,17,2
Чайковский-1,Чайковский,34,1
Нижневартовск-1,Нижневартовск,35,1
Саратов-1,Саратов,36,1
Реутов-1,Реутов,37,1
Одинцово-1,Одинцово,38,1
Комсомольск-на-Амуре-1,Комсомольск-на-Амуре,39,1
Додо Франчайзинг-1,Додо Франчайзинг,40,1
Домодедово-1,Домодедово,41,1
Вологда-1,Вологда,42,1
Балашиха-1,Балашиха,43,1
Ангарск-1,Ангарск,44,1
Сыктывкар-6,Сыктывкар,0,6
Сургут-1,Сургут,45,1
Нахабино-1,Нахабино,46,1
Калуга-1,Калуга,47,1
Щелково-1,Щелково,48,1
Гатчина-2,Гатчина,18,2
Зеленоград-1,Зеленоград,49,1
Всеволожск-1,Всеволожск,50,1
Новочебоксарск-1,Новочебоксарск,51,1
Железнодорожный-1,Железнодорожный,52,1
Москва 1-1,Москва 1,53,1
Шахты-1,Шахты,54,1
Салават-1,Салават,55,1
Челябинск-2,Челябинск,5,2
Ленинск-Кузнецкий-1,Ленинск-Кузнецкий,56,1
Лобня-1,Лобня,57,1
Ханты-Мансийск-1,Ханты-Мансийск,58,1
Балаково-1,Балаково,59,1
Тверь-1,Тверь,60,1
Тольятти-1,Тольятти,61,1
Пушкино-1,Пушкино,62,1
Калининград-2,Калининград,32,2
Нефтекамск-1,Нефтекамск,63,1
Петрозаводск-1,Петрозаводск,64,1
Сочи-1,Сочи,65,1
Казань-1,Казань,66,1
Вельск-1,Вельск,67,1
Выборг-1,Выборг,68,1
Тобольск-1,Тобольск,69,1
Ухта-2,Ухта,1,2
Абинск-1,Абинск,70,1
Нижний Новгород-1,Нижний Новгород,71,1
Благовещенск-1,Благовещенск,72,1
Тюмень-2,Тюмень,22,2
Самара-5,Самара,4,5
Новокуйбышевск-1,Новокуйбышевск,73,1
Красногорск-1,Красногорск,74,1
Электросталь-1,Электросталь,75,1
Новоалтайск-1,Новоалтайск,76,1
Ростов-на-Дону-3,Ростов-на-Дону,17,3
Махачкала-2,Махачкала,21,2
Якутск-1,Якутск,77,1
Радужный-1,Радужный,78,1
Зеленокумск-1,Зеленокумск,79,1
Серпухов-1,Серпухов,80,1
Лениногорск-1,Лениногорск,81,1
Уфа-1,Уфа,82,1
Москва 1-5,Москва 1,53,5
Северск-1,Северск,83,1
Нефтеюганск-1,Нефтеюганск,84,1
Ижевск-1,Ижевск,85,1
Раменское-1,Раменское,86,1
Вологда-2,Вологда,42,2
Тольятти-2,Тольятти,61,2
Обнинск-1,Обнинск,87,1
Нижний Тагил-1,Нижний Тагил,88,1
Москва 1-3,Москва 1,53,3
Екатеринбург-1,Екатеринбург,89,1
Дмитров-1,Дмитров,90,1
Краснодар-2,Краснодар,91,2
Краснодар-1,Краснодар,91,1
Троицк-1,Троицк,92,1
Киров-1,Киров,93,1
Коломна-1,Коломна,94,1
Комсомольск-на-Амуре-2,Комсомольск-на-Амуре,39,2
