LFnext7,LFnext30,LFprev7,LFprev30
1.0,1.0,,
1.0,1.0,,
,,,
,1.0,,
52.1931135534,33.0,,1.0
71.6505197253,76.0,2.0,1.86817687903
4.26360809428,69.125,2.0,1.67167052682
52.1650159076,61.9296875,5.58670487629,5.58670487629
98.1830603654,85.6875,1.0,1.0
93.7584440866,86.0703125,56.3349027336,56.3349027336
112.420916395,98.0,1.36949757706,62.9437222909
111.514536179,179.25,93.3251875495,161.149065755
141.05289545,154.25,177.938589895,140.843522048
174.997372771,126.72265625,44.7047518547,63.5492912923
120.070806221,137.5,85.588309943,114.662991591
97.6686552762,113.0,79.8970453949,157.859160582
76.7199167212,129.5,112.992302286,106.607600734
132.853733041,145.0625,94.6713313782,96.6155452363
169.685409553,217.96875,118.571887198,94.0
143.065212666,186.28125,112.711687102,94.0
165.800375871,161.358822625,122.402245715,126.854396601
205.344635192,138.0625,74.3711019497,40.2019045946
224.596821848,131.1875,65.8995678981,33.4501871058
186.588163523,188.59375,70.4288081692,61.9059310859
213.193272174,183.125,151.004607704,126.936604037
1.0,1.0,113.669918769,1.0
1.0,1.0,186.803511861,247.653145366
1.0,115.953125,1.0,134.324379172
140.133076632,117.8125,46.4227267785,66.3540319806
160.278259671,104.75,158.149316236,177.951075241
124.9904909,104.5625,88.6432235316,139.463573794
154.97013403,125.6875,151.042134227,142.951653532
1392.80458821,177.390625,1.0,1.0
194.986917014,173.375,1.0,1.0
141.5,154.5625,40.5269813755,140.119999874
56.0898574048,118.0,114.431938297,143.367183528
88.9058675427,117.195586907,107.996057222,119.015014612
105.718849574,131.75,88.5172293537,124.294594824
113.26953125,142.875,85.7687423957,85.7687423957
229.624306199,179.25,104.161266279,92.3909802332
187.319981322,183.78125,298.612008489,298.612008489
4.61253350488e+11,168.47121483,1.0,1.0
108.022448961,127.125,71.0799138712,132.307736141
169.440043455,134.5,96.1376042836,111.561301737
83.6393607003,133.125,127.120028022,151.747378605
54.6570276158,138.75,131.231177164,149.04895194
1.0,177.0625,232.787847727,183.08524231
141.206269322,172.0625,201.492077314,166.043971412
77.75,157.4375,155.737074058,148.515176251
123.223316668,124.6875,120.952230707,127.777402192
124.71355611,113.875,102.34110917,108.08236632
126.103897056,124.0,178.384431602,127.730031693
130.609649006,144.0,120.544172932,138.738603201
104.607260814,164.0,191.357058002,217.163132496
173.153293746,111.0,319.234266222,225.864033423
52.5792633645,128.25,267.47950997,157.155542825
136.455666047,107.125,203.508155322,113.379226539
76.9324697047,8.37450941852e+13,152.312728728,118.692897994
110.689327032,108.0,157.976527869,89.4615431943
154.746932309,119.625,156.477044064,187.659626801
103.156262961,143.5,226.195745717,239.011540889
103.086304217,138.5,191.691362918,182.581061789
152.911874021,137.0,137.424062596,173.631893047
108.625514465,76.0,133.399209413,111.213896794
201.304039665,87.0,71.3538059089,103.016654202
116.867071622,113.8125,89.4951946661,108.900006163
583.108239585,143.0,1.0,119.869932571
1.0,164.0,193.860077996,164.568127847
212.556774743,107.0,149.985928544,148.362988437
601.945146953,125.1875,122.159845896,133.304827389
241.066369303,126.75,94.9560947228,75.8276578838
96.9293488746,108.625,112.374031364,88.2846174204
97.0718375866,137.906234751,166.259264842,111.630057412
1.0,138.890625,82.3061895447,114.011842424
166.186121879,176.125,1.0,140.0
154.632497813,134.25,362.207927479,152.25
761.507160266,167.0,7.22786304533,107.875
184.135647947,106.75,43.9393391455,89.75
