CountTomorrow,CountYesterday
,
,
,
,
43.0,
10.0,2.0
,43.0
,10.0
,
96.0,60.0
134.0,
,96.0
100.0,134.0
,
73.0,100.0
94.0,
,73.0
129.0,94.0
164.0,
122.0,129.0
,164.0
,122.0
128.0,
172.0,
223.0,128.0
68.0,172.0
100.0,223.0
169.0,68.0
142.0,100.0
130.0,169.0
119.0,142.0
128.0,130.0
128.0,119.0
,128.0
105.0,128.0
129.0,
101.0,105.0
,129.0
215.0,101.0
174.0,
123.0,215.0
111.0,174.0
,123.0
113.0,111.0
135.0,
163.0,113.0
218.0,135.0
162.0,163.0
114.0,218.0
,162.0
,114.0
,
165.0,
163.0,
157.0,165.0
86.0,163.0
109.0,157.0
142.0,86.0
,109.0
173.0,142.0
,
131.0,173.0
98.0,
89.0,131.0
100.0,98.0
91.0,89.0
,100.0
,91.0
137.0,
,
,137.0
97.0,
103.0,
138.0,97.0
,103.0
127.0,138.0
99.0,
110.0,127.0
268.0,99.0
239.0,110.0
136.0,268.0
,239.0
112.0,136.0
100.0,
91.0,112.0
67.0,100.0
95.0,91.0
153.0,67.0
162.0,95.0
,153.0
95.0,162.0
87.0,
285.0,95.0
237.0,87.0
,285.0
141.0,237.0
128.0,
,141.0
,128.0
90.0,
,
,90.0
169.0,
,
,169.0
104.0,
,
117.0,104.0
151.0,
145.0,117.0
120.0,151.0
98.0,145.0
93.0,120.0
89.0,98.0
112.0,93.0
134.0,89.0
,112.0
185.0,134.0
108.0,
124.0,185.0
,108.0
135.0,124.0
,
163.0,135.0
,
,163.0
113.0,
143.0,
,113.0
169.0,143.0
161.0,
118.0,169.0
,161.0
137.0,118.0
123.0,
152.0,137.0
,123.0
177.0,152.0
151.0,
,177.0
135.0,151.0
136.0,
,135.0
148.0,136.0
,
167.0,148.0
129.0,
149.0,167.0
116.0,129.0
117.0,149.0
96.0,116.0
8.0,
,117.0
,15.0
,8.0
,96.0
68.0,
161.0,
62.0,
191.0,
,68.0
,161.0
50.0,62.0
143.0,191.0
,
,
,143.0
,50.0
203.0,
75.0,
39.0,
159.0,
27.0,75.0
154.0,203.0
,159.0
,39.0
,154.0
,27.0
30.0,
158.0,
,
,
,158.0
,30.0
105.0,
25.0,
29.0,
105.0,
139.0,105.0
28.0,25.0
31.0,29.0
138.0,105.0
,28.0
,139.0
31.0,31.0
219.0,138.0
,
,
136.0,219.0
24.0,31.0
119.0,
29.0,
39.0,24.0
111.0,136.0
60.0,29.0
150.0,119.0
276.0,111.0
38.0,39.0
161.0,150.0
58.0,60.0
,276.0
,38.0
157.0,161.0
34.0,58.0
171.0,
26.0,
,34.0
,157.0
171.0,171.0
33.0,26.0
43.0,
227.0,
,171.0
,33.0
224.0,227.0
65.0,43.0
,
,
226.0,224.0
45.0,65.0
21.0,
156.0,
168.0,226.0
39.0,45.0
,21.0
,156.0
64.0,39.0
275.0,168.0
174.0,
47.0,
33.0,64.0
168.0,275.0
,47.0
,174.0
26.0,33.0
192.0,168.0
,
,
52.0,26.0
239.0,192.0
39.0,
235.0,
202.0,239.0
41.0,52.0
205.0,235.0
34.0,39.0
14.0,41.0
176.0,202.0
241.0,205.0
51.0,34.0
35.0,14.0
