YearDayRange,MonthDayRange,WeekDayRange,MonthRange,YearRange
176,17,3,11,0
122,21,5,11,0
230,24,4,11,0
301,26,2,0,0
5,18,3,8,0
24,24,5,8,0
84,4,6,8,0
7,8,4,8,0
270,3,2,8,0
274,15,0,8,0
48,26,3,8,0
27,13,5,8,0
90,19,6,8,0
181,1,4,8,0
347,0,1,8,0
298,23,2,8,0
138,5,0,8,0
115,9,3,8,0
120,16,5,8,0
142,25,6,8,0
312,11,4,8,0
360,29,1,8,0
348,27,2,8,0
235,2,0,8,0
321,14,3,8,0
354,28,5,8,0
119,12,6,8,0
191,30,4,6,4
341,6,1,6,4
340,10,2,6,4
333,22,0,6,4
325,7,3,6,4
258,17,5,6,4
260,21,6,6,4
208,18,4,6,4
283,24,1,6,4
224,4,2,6,4
147,8,0,6,4
37,20,3,6,4
131,3,5,6,4
26,15,6,6,4
220,26,4,6,4
306,13,1,6,4
308,19,2,6,4
315,1,0,6,4
18,0,3,6,4
11,23,5,6,4
36,5,6,6,4
66,9,4,6,4
327,16,1,6,4
296,25,2,6,4
194,11,0,6,4
291,29,3,6,4
74,27,5,6,4
43,2,6,6,4
42,14,4,6,4
202,28,1,6,4
238,12,2,6,4
157,30,0,10,4
102,6,3,10,4
93,10,5,10,4
106,22,6,10,4
249,7,4,10,4
338,17,1,10,4
277,21,2,10,4
334,18,0,10,4
47,24,3,10,4
20,4,5,10,4
64,8,6,10,4
210,20,4,10,4
331,3,1,10,4
364,15,2,10,4
209,26,0,10,4
57,13,3,10,4
40,19,5,10,4
34,1,6,10,4
50,0,4,10,4
317,23,1,10,4
335,5,2,10,4
339,9,0,10,4
350,16,3,10,4
78,25,5,10,4
12,11,6,10,4
130,29,4,10,4
324,27,1,10,4
281,2,2,10,4
148,14,0,10,4
97,30,3,9,4
30,6,5,9,4
80,10,6,9,4
342,22,4,9,4
359,7,1,9,4
362,17,2,9,4
361,21,0,9,4
363,18,3,9,4
54,24,5,9,4
16,4,6,9,4
121,8,4,9,4
268,20,1,9,4
262,3,2,9,4
126,15,0,9,4
100,26,3,9,4
17,13,5,9,4
33,19,6,9,4
39,1,4,9,4
195,0,1,9,4
305,23,2,9,4
187,5,0,9,4
336,9,3,9,4
63,16,5,9,4
87,25,6,9,4
98,11,4,9,4
196,29,1,9,4
307,27,2,9,4
154,2,0,9,4
185,14,3,9,4
65,28,5,9,4
72,12,6,9,4
205,30,4,1,4
294,6,1,1,4
286,10,2,1,4
330,22,0,1,4
56,7,3,1,4
32,17,5,1,4
29,21,6,1,4
222,18,4,1,4
314,24,1,1,4
310,4,2,1,4
108,8,0,1,4
0,20,3,1,4
41,3,5,1,4
82,15,6,1,4
228,26,4,1,4
35,13,1,1,4
285,19,2,1,4
248,1,0,1,4
61,0,3,1,4
49,23,5,1,4
76,5,6,1,4
216,9,4,1,4
159,16,1,1,4
319,25,2,1,4
162,11,0,1,4
14,29,3,1,4
28,27,5,1,4
45,2,6,1,4
254,14,4,1,4
289,28,1,1,4
219,30,2,3,4
253,6,0,3,4
150,10,3,3,4
150,10,3,3,4
8,22,5,3,4
8,22,5,3,4
21,7,6,3,4
21,7,6,3,4
165,17,4,3,4
165,17,4,3,4
284,21,1,3,4
284,21,1,3,4
303,18,2,3,4
303,18,2,3,4
225,24,0,3,4
225,24,0,3,4
94,4,3,3,4
94,4,3,3,4
2,8,5,3,4
2,8,5,3,4
55,20,6,3,4
55,20,6,3,4
6,3,4,3,4
6,3,4,3,4
309,15,1,3,4
309,15,1,3,4
313,26,2,3,4
313,26,2,3,4
114,13,0,3,4
114,13,0,3,4
198,19,3,3,4
198,19,3,3,4
44,1,5,3,4
44,1,5,3,4
9,0,6,3,4
9,0,6,3,4
223,23,4,3,4
223,23,4,3,4
332,5,1,3,4
332,5,1,3,4
246,9,2,3,4
246,9,2,3,4
137,16,0,3,4
137,16,0,3,4
161,25,3,3,4
161,25,3,3,4
193,11,5,3,4
193,11,5,3,4
77,29,6,3,4
77,29,6,3,4
241,27,4,3,4
241,27,4,3,4
105,2,1,3,4
105,2,1,3,4
247,14,2,3,4
247,14,2,3,4
179,28,0,3,4
179,28,0,3,4
201,12,3,3,4
201,12,3,3,4
13,30,5,5,4
13,30,5,5,4
51,6,6,5,4
51,6,6,5,4
229,10,4,5,4
229,10,4,5,4
269,22,1,5,4
269,22,1,5,4
265,7,2,5,4
265,7,2,5,4
320,17,0,5,4
320,17,0,5,4
175,21,3,5,4
175,21,3,5,4
117,18,5,5,4
117,18,5,5,4
158,24,6,5,4
158,24,6,5,4
322,4,4,5,4
322,4,4,5,4
346,8,1,5,4
346,8,1,5,4
290,20,2,5,4
290,20,2,5,4
212,3,0,5,4
212,3,0,5,4
136,15,3,5,4
136,15,3,5,4
125,26,5,5,4
125,26,5,5,4
129,13,6,5,4
129,13,6,5,4
264,19,4,5,4
264,19,4,5,4
255,1,1,5,4
255,1,1,5,4
226,0,2,5,4
226,0,2,5,4
171,23,0,5,4
171,23,0,5,4
113,5,3,5,4
113,5,3,5,4
112,9,5,5,4
112,9,5,5,4
143,16,6,5,4
143,16,6,5,4
250,25,4,5,4
250,25,4,5,4
280,11,1,5,4
280,11,1,5,4
278,29,2,5,4
278,29,2,5,4
192,27,0,5,4
192,27,0,5,4
155,2,3,5,4
155,2,3,5,4
183,14,5,5,4
183,14,5,5,4
170,28,6,5,4
170,28,6,5,4
236,30,4,2,4
236,30,4,2,4
172,6,1,2,4
172,6,1,2,4
207,10,2,2,4
207,10,2,2,4
167,22,0,2,4
167,22,0,2,4
149,7,3,2,4
149,7,3,2,4
127,17,5,2,4
127,17,5,2,4
160,21,6,2,4
160,21,6,2,4
86,18,4,2,4
86,18,4,2,4
263,24,1,2,4
263,24,1,2,4
267,4,2,2,4
267,4,2,2,4
189,8,0,2,4
189,8,0,2,4
134,20,3,2,4
134,20,3,2,4
164,3,5,2,4
164,3,5,2,4
178,15,6,2,4
178,15,6,2,4
242,26,4,2,4
242,26,4,2,4
295,13,1,2,4
295,13,1,2,4
245,19,2,2,4
245,19,2,2,4
245,19,2,2,4
186,1,0,2,4
186,1,0,2,4
186,1,0,2,4
140,0,3,2,4
140,0,3,2,4
140,0,3,2,4
166,23,5,2,4
166,23,5,2,4
166,23,5,2,4
156,5,6,2,4
156,5,6,2,4
156,5,6,2,4
227,9,4,2,4
227,9,4,2,4
227,9,4,2,4
279,16,1,2,4
279,16,1,2,4
279,16,1,2,4
240,25,2,2,4
240,25,2,2,4
240,25,2,2,4
257,11,0,2,4
257,11,0,2,4
257,11,0,2,4
95,29,3,2,4
95,29,3,2,4
95,29,3,2,4
135,27,5,2,4
135,27,5,2,4
135,27,5,2,4
168,2,6,2,4
168,2,6,2,4
168,2,6,2,4
73,14,4,2,4
73,14,4,2,4
73,14,4,2,4
275,28,1,2,4
275,28,1,2,4
275,28,1,2,4
233,12,2,2,4
233,12,2,2,4
233,12,2,2,4
151,30,0,4,4
151,30,0,4,4
151,30,0,4,4
163,6,3,4,4
163,6,3,4,4
163,6,3,4,4
109,10,5,4,4
109,10,5,4,4
109,10,5,4,4
132,22,6,4,4
132,22,6,4,4
132,22,6,4,4
99,7,4,4,4
99,7,4,4,4
99,7,4,4,4
206,17,1,4,4
206,17,1,4,4
206,17,1,4,4
243,21,2,4,4
243,21,2,4,4
243,21,2,4,4
302,18,0,4,4
302,18,0,4,4
302,18,0,4,4
169,24,3,4,4
169,24,3,4,4
169,24,3,4,4
180,4,5,4,4
180,4,5,4,4
180,4,5,4,4
89,8,6,4,4
89,8,6,4,4
89,8,6,4,4
232,20,4,4,4
232,20,4,4,4
232,20,4,4,4
199,3,1,4,4
199,3,1,4,4
199,3,1,4,4
282,15,2,4,4
282,15,2,4,4
282,15,2,4,4
214,26,0,4,4
214,26,0,4,4
214,26,0,4,4
153,13,3,4,4
153,13,3,4,4
153,13,3,4,4
111,19,5,4,4
111,19,5,4,4
111,19,5,4,4
139,1,6,4,4
139,1,6,4,4
139,1,6,4,4
244,0,4,4,4
244,0,4,4,4
244,0,4,4,4
297,23,1,4,4
297,23,1,4,4
297,23,1,4,4
266,5,2,4,4
266,5,2,4,4
266,5,2,4,4
182,9,0,4,4
182,9,0,4,4
182,9,0,4,4
123,16,3,4,4
123,16,3,4,4
123,16,3,4,4
145,25,5,4,4
145,25,5,4,4
145,25,5,4,4
203,11,6,4,4
203,11,6,4,4
203,11,6,4,4
292,29,4,4,4
292,29,4,4,4
292,29,4,4,4
329,27,1,4,4
329,27,1,4,4
329,27,1,4,4
288,2,2,4,4
288,2,2,4,4
288,2,2,4,4
288,2,2,4,4
218,14,0,4,4
218,14,0,4,4
218,14,0,4,4
218,14,0,4,4
188,28,3,4,4
188,28,3,4,4
188,28,3,4,4
188,28,3,4,4
276,12,5,4,4
276,12,5,4,4
276,12,5,4,4
276,12,5,4,4
356,30,6,7,4
356,30,6,7,4
356,30,6,7,4
356,30,6,7,4
200,6,4,7,4
200,6,4,7,4
200,6,4,7,4
200,6,4,7,4
273,10,1,7,4
273,10,1,7,4
273,10,1,7,4
273,10,1,7,4
237,22,2,7,4
237,22,2,7,4
237,22,2,7,4
237,22,2,7,4
133,7,0,7,4
133,7,0,7,4
133,7,0,7,4
133,7,0,7,4
60,17,3,7,4
60,17,3,7,4
60,17,3,7,4
60,17,3,7,4
59,21,5,7,4
59,21,5,7,4
59,21,5,7,4
59,21,5,7,4
70,18,6,7,4
70,18,6,7,4
70,18,6,7,4
70,18,6,7,4
23,24,4,7,4
23,24,4,7,4
23,24,4,7,4
23,24,4,7,4
177,4,1,7,4
177,4,1,7,4
177,4,1,7,4
177,4,1,7,4
328,8,2,7,4
328,8,2,7,4
328,8,2,7,4
328,8,2,7,4
184,20,0,7,4
184,20,0,7,4
184,20,0,7,4
184,20,0,7,4
62,3,3,7,4
62,3,3,7,4
62,3,3,7,4
62,3,3,7,4
101,15,5,7,4
101,15,5,7,4
101,15,5,7,4
101,15,5,7,4
83,26,6,7,4
