NextExisting1Value,NextExisting2Value,NextExisting3Value,NextExisting7Value,NextExisting14Value,NextExisting21Value,NextExisting30Value
88.0,88.0,44.5,44.5,44.5,44.5,44.5
,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,
,,,,,,33.8
,10.0,5.5,41.75,77.4,97.1428571429,112.136363636
10.0,5.5,5.5,60.2,77.4,105.533333333,113.173913043
1.0,1.0,30.5,80.6,92.8,109.4,117.304347826
,60.0,60.0,100.4,104.9,117.142857143,122.590909091
,96.0,115.0,103.0,109.888888889,126.066666667,124.454545455
96.0,115.0,114.0,101.5,111.7,126.3125,128.391304348
134.0,123.0,115.333333333,101.166666667,119.3,127.75,129.863636364
112.0,106.0,106.0,94.6,128.2,127.375,129.666666667
100.0,100.0,86.5,105.0,123.8,128.375,130.55
,73.0,83.5,109.4,126.444444444,130.625,130.5
73.0,83.5,87.0,109.4,130.7,129.117647059,129.666666667
94.0,94.0,94.0,118.5,137.6,132.625,132.619047619
94.0,94.0,129.0,127.0,141.2,133.0625,134.55
,164.0,143.0,146.5,143.7,135.666666667,140.75
164.0,143.0,143.0,161.8,142.272727273,140.625,140.75
122.0,122.0,122.0,142.6,139.0,139.066666667,138.25
,,128.0,147.75,140.272727273,140.285714286,139.105263158
,128.0,150.0,152.0,137.333333333,140.285714286,139.6
128.0,150.0,174.333333333,150.333333333,137.333333333,137.533333333,139.6
172.0,197.5,154.333333333,150.666666667,135.083333333,136.533333333,141.45
223.0,145.5,145.5,141.833333333,131.727272727,134.066666667,141.0
68.0,68.0,118.5,126.0,131.0,127.714285714,137.7
,169.0,155.5,136.0,137.3,138.428571429,138.6
169.0,155.5,147.0,136.0,137.3,138.428571429,137.19047619
142.0,136.0,130.333333333,126.857142857,133.777777778,134.5,135.904761905
130.0,124.5,125.666666667,124.333333333,129.0,133.923076923,135.6
119.0,123.5,125.0,119.5,127.111111111,135.384615385,137.75
128.0,128.0,130.666666667,119.6,128.888888889,136.75,138.736842105
128.0,132.0,123.0,137.0,129.0,139.833333333,138.894736842
136.0,120.5,120.5,139.25,140.25,142.75,137.315789474
105.0,105.0,103.0,140.333333333,140.857142857,144.5,134.842105263
,101.0,101.0,158.0,142.142857143,142.916666667,134.578947368
101.0,101.0,158.0,138.333333333,142.142857143,140.307692308,132.4
,215.0,215.0,142.333333333,149.0,143.461538462,134.052631579
215.0,215.0,215.0,140.5,149.0,143.461538462,134.052631579
,,,115.666666667,141.857142857,140.230769231,129.947368421
,,99.0,141.25,144.5,140.230769231,128.7
,99.0,106.0,141.25,145.888888889,139.571428571,129.476190476
99.0,106.0,115.666666667,135.8,139.9,136.8,128.0
113.0,124.0,124.0,145.0,140.9,136.133333333,128.181818182
135.0,135.0,176.5,154.0,143.8,135.266666667,128.904761905
,218.0,218.0,160.333333333,144.777777778,132.333333333,128.6
218.0,218.0,166.0,161.5,147.6,132.333333333,128.523809524
,114.0,114.0,147.75,139.777777778,126.214285714,122.857142857
114.0,114.0,131.5,149.6,138.9,126.933333333,122.272727273
,149.0,149.0,144.0,137.3,126.333333333,129.272727273
149.0,149.0,157.0,138.166666667,132.909090909,127.5,129.272727273
,165.0,164.0,137.0,128.454545455,124.25,128.333333333
165.0,164.0,161.666666667,137.0,125.333333333,123.0,129.590909091
163.0,160.0,135.333333333,138.333333333,121.727272727,120.375,127.181818182
157.0,121.5,117.333333333,133.4,117.6,117.533333333,125.476190476
86.0,97.5,112.333333333,128.2,115.6,115.533333333,122.333333333
109.0,125.5,125.5,130.6,117.5,116.4,121.428571429
142.0,142.0,157.5,126.6,121.1,116.466666667,120.761904762
,173.0,173.0,118.2,116.6,124.866666667,121.285714286
173.0,173.0,152.0,113.666666667,115.363636364,124.866666667,123.136363636
,131.0,114.5,101.8,109.6,121.428571429,121.454545455
131.0,114.5,106.0,101.8,109.6,123.733333333,120.304347826
98.0,93.5,95.6666666667,103.0,109.2,122.466666667,118.391304348
89.0,94.5,93.3333333333,104.4,109.3,124.214285714,126.52173913
100.0,95.5,95.5,115.6,111.4,124.357142857,132.956521739
91.0,91.0,91.0,115.0,128.2,122.0,134.454545455
,,137.0,117.4,132.333333333,122.285714286,136.727272727
,137.0,121.0,117.4,132.333333333,124.333333333,136.727272727
137.0,121.0,129.0,117.4,134.7,126.6875,136.727272727
105.0,125.0,115.666666667,115.4,132.2,126.625,136.714285714
145.0,121.0,115.0,114.2,135.222222222,126.0,136.0
97.0,100.0,100.0,107.2,129.222222222,122.375,135.55
103.0,103.0,103.0,141.4,125.888888889,134.125,137.45
,,127.0,151.0,125.0,142.5,139.263157895
,127.0,113.0,151.0,127.8,142.5,139.9
127.0,113.0,112.0,152.0,130.909090909,142.411764706,139.9
