Count,Date,IsTrain,IsTest
8,2011-10-06,1,0
88,2011-10-07,1,0
1,2011-10-09,1,0
1,2011-11-15,1,0
2,2011-12-08,1,0
43,2011-12-09,1,0
10,2011-12-10,1,0
1,2011-12-11,1,0
60,2011-12-13,1,0
83,2011-12-14,1,0
96,2011-12-15,1,0
134,2011-12-16,1,0
112,2011-12-17,1,0
100,2011-12-18,1,0
82,2011-12-19,1,0
73,2011-12-20,1,0
94,2011-12-21,1,0
94,2011-12-22,1,0
129,2011-12-23,1,0
164,2011-12-24,1,0
122,2011-12-25,1,0
112,2011-12-26,1,0
98,2011-12-27,1,0
128,2011-12-28,1,0
172,2011-12-29,1,0
223,2011-12-30,1,0
68,2011-12-31,1,0
100,2012-01-01,1,0
169,2012-01-02,1,0
142,2012-01-03,1,0
130,2012-01-04,1,0
119,2012-01-05,1,0
128,2012-01-06,1,0
128,2012-01-07,1,0
136,2012-01-08,1,0
105,2012-01-09,1,0
129,2012-01-10,1,0
101,2012-01-11,1,0
114,2012-01-12,1,0
215,2012-01-13,1,0
174,2012-01-14,1,0
123,2012-01-15,1,0
111,2012-01-16,1,0
99,2012-01-17,1,0
113,2012-01-18,1,0
135,2012-01-19,1,0
163,2012-01-20,1,0
218,2012-01-21,1,0
162,2012-01-22,1,0
114,2012-01-23,1,0
122,2012-01-24,1,0
149,2012-01-25,1,0
111,2012-01-26,1,0
165,2012-01-27,1,0
163,2012-01-28,1,0
157,2012-01-29,1,0
86,2012-01-30,1,0
109,2012-01-31,1,0
142,2012-02-01,1,0
92,2012-02-02,1,0
173,2012-02-03,1,0
171,2012-02-04,1,0
131,2012-02-05,1,0
98,2012-02-06,1,0
89,2012-02-07,1,0
100,2012-02-08,1,0
91,2012-02-09,1,0
141,2012-02-10,1,0
163,2012-02-11,1,0
137,2012-02-12,1,0
105,2012-02-13,1,0
145,2012-02-14,1,0
97,2012-02-15,1,0
103,2012-02-16,1,0
138,2012-02-17,1,0
167,2012-02-18,1,0
127,2012-02-19,1,0
99,2012-02-20,1,0
110,2012-02-21,1,0
268,2012-02-22,1,0
239,2012-02-23,1,0
136,2012-02-24,1,0
156,2012-02-25,1,0
112,2012-02-26,1,0
100,2012-02-27,1,0
91,2012-02-28,1,0
67,2012-02-29,1,0
95,2012-03-01,1,0
153,2012-03-02,1,0
162,2012-03-03,1,0
136,2012-03-04,1,0
95,2012-03-05,1,0
87,2012-03-06,1,0
285,2012-03-07,1,0
237,2012-03-08,1,0
130,2012-03-09,1,0
141,2012-03-10,1,0
128,2012-03-11,1,0
95,2012-03-12,1,0
115,2012-03-13,1,0
90,2012-03-14,1,0
98,2012-03-15,1,0
135,2012-03-16,1,0
169,2012-03-17,1,0
152,2012-03-18,1,0
107,2012-03-19,1,0
104,2012-03-20,1,0
104,2012-03-21,1,0
117,2012-03-22,1,0
151,2012-03-23,1,0
145,2012-03-24,1,0
120,2012-03-25,1,0
98,2012-03-26,1,0
93,2012-03-27,1,0
89,2012-03-28,1,0
112,2012-03-29,1,0
134,2012-03-30,1,0
159,2012-03-31,1,0
185,2012-04-01,1,0
108,2012-04-02,1,0
124,2012-04-03,1,0
145,2012-04-04,1,0
135,2012-04-05,1,0
170,2012-04-06,1,0
163,2012-04-07,1,0
143,2012-04-08,1,0
77,2012-04-09,1,0
113,2012-04-10,1,0
143,2012-04-11,1,0
147,2012-04-12,1,0
169,2012-04-13,1,0
161,2012-04-14,1,0
118,2012-04-15,1,0
93,2012-04-16,1,0
137,2012-04-17,1,0
123,2012-04-18,1,0
152,2012-04-19,1,0
185,2012-04-20,1,0
177,2012-04-21,1,0
151,2012-04-22,1,0
124,2012-04-23,1,0
135,2012-04-24,1,0
136,2012-04-25,1,0
131,2012-04-26,1,0
148,2012-04-27,1,0
186,2012-04-28,1,0
167,2012-04-29,1,0
129,2012-04-30,1,0
149,2012-05-01,1,0
116,2012-05-02,1,0
117,2012-05-03,1,0
15,2012-05-03,1,0
8,2012-05-04,1,0
96,2012-05-04,1,0
241,2012-05-05,1,0
27,2012-05-05,1,0
94,2012-05-06,1,0
254,2012-05-06,1,0
68,2012-05-07,1,0
161,2012-05-07,1,0
191,2012-05-08,1,0
62,2012-05-08,1,0
213,2012-05-09,1,0
72,2012-05-09,1,0
50,2012-05-10,1,0
143,2012-05-10,1,0
87,2012-05-11,1,0
29,2012-05-11,1,0
41,2012-05-12,1,0
163,2012-05-12,1,0
203,2012-05-13,1,0
75,2012-05-13,1,0
159,2012-05-14,1,0
39,2012-05-14,1,0
27,2012-05-15,1,0
154,2012-05-15,1,0
145,2012-05-16,1,0
44,2012-05-16,1,0
141,2012-05-17,1,0
38,2012-05-17,1,0
158,2012-05-18,1,0
30,2012-05-18,1,0
41,2012-05-19,1,0
150,2012-05-19,1,0
139,2012-05-20,1,0
30,2012-05-20,1,0
25,2012-05-21,1,0
105,2012-05-21,1,0
29,2012-05-22,1,0
105,2012-05-22,1,0
139,2012-05-23,1,0
28,2012-05-23,1,0
138,2012-05-24,1,0
31,2012-05-24,1,0
232,2012-05-25,1,0
47,2012-05-25,1,0
219,2012-05-26,1,0
31,2012-05-26,1,0
139,2012-05-27,1,0
34,2012-05-27,1,0
136,2012-05-28,1,0
24,2012-05-28,1,0
119,2012-05-29,1,0
29,2012-05-29,1,0
39,2012-05-30,1,0
111,2012-05-30,1,0
60,2012-05-31,1,0
150,2012-05-31,1,0
38,2012-06-01,1,0
276,2012-06-01,1,0
161,2012-06-02,1,0
58,2012-06-02,1,0
58,2012-06-03,1,0
132,2012-06-03,1,0
157,2012-06-04,1,0
34,2012-06-04,1,0
171,2012-06-05,1,0
26,2012-06-05,1,0
26,2012-06-06,1,0
146,2012-06-06,1,0
33,2012-06-07,1,0
171,2012-06-07,1,0
43,2012-06-08,1,0
227,2012-06-08,1,0
63,2012-06-09,1,0
293,2012-06-09,1,0
224,2012-06-10,1,0
65,2012-06-10,1,0
44,2012-06-11,1,0
181,2012-06-11,1,0
226,2012-06-12,1,0
45,2012-06-12,1,0
21,2012-06-13,1,0
156,2012-06-13,1,0
168,2012-06-14,1,0
39,2012-06-14,1,0
235,2012-06-15,1,0
59,2012-06-15,1,0
64,2012-06-16,1,0
275,2012-06-16,1,0
174,2012-06-17,1,0
47,2012-06-17,1,0
168,2012-06-18,1,0
33,2012-06-18,1,0
29,2012-06-19,1,0
186,2012-06-19,1,0
26,2012-06-20,1,0
192,2012-06-20,1,0
36,2012-06-21,1,0
195,2012-06-21,1,0
239,2012-06-22,1,0
52,2012-06-22,1,0
235,2012-06-23,1,0
39,2012-06-23,1,0
41,2012-06-24,1,0
202,2012-06-24,1,0
34,2012-06-25,1,0
205,2012-06-25,1,0
176,2012-06-26,1,0
14,2012-06-26,1,0
241,2012-06-27,1,0
51,2012-06-27,1,0
196,2012-06-28,1,0
35,2012-06-28,1,0
72,2012-06-29,1,0
331,2012-06-29,1,0
298,2012-06-30,1,0
63,2012-06-30,1,0
28,2012-07-01,1,0
262,2012-07-01,1,0
245,2012-07-02,1,0
22,2012-07-02,1,0
180,2012-07-03,1,0
16,2012-07-03,1,0
14,2012-07-04,1,0
228,2012-07-04,1,0
14,2012-07-05,1,0
263,2012-07-05,1,0
31,2012-07-06,1,0
264,2012-07-06,1,0
247,2012-07-07,1,0
33,2012-07-07,1,0
16,2012-07-08,1,0
222,2012-07-08,1,0
213,2012-07-09,1,0
18,2012-07-09,1,0
211,2012-07-10,1,0
19,2012-07-10,1,0
16,2012-07-11,1,0
218,2012-07-11,1,0
218,2012-07-12,1,0
15,2012-07-12,1,0
309,2012-07-13,1,0
28,2012-07-13,1,0
241,2012-07-14,1,0
39,2012-07-14,1,0
42,2012-07-15,1,0
294,2012-07-15,1,0
33,2012-07-16,1,0
257,2012-07-16,1,0
242,2012-07-17,1,0
7,2012-07-17,1,0
19,2012-07-17,1,0
236,2012-07-18,1,0
25,2012-07-18,1,0
9,2012-07-18,1,0
230,2012-07-19,1,0
8,2012-07-19,1,0
13,2012-07-19,1,0
305,2012-07-20,1,0
24,2012-07-20,1,0
9,2012-07-20,1,0
13,2012-07-21,1,0
28,2012-07-21,1,0
322,2012-07-21,1,0
239,2012-07-22,1,0
18,2012-07-22,1,0
21,2012-07-22,1,0
20,2012-07-23,1,0
240,2012-07-23,1,0
29,2012-07-23,1,0
27,2012-07-24,1,0
20,2012-07-24,1,0
238,2012-07-24,1,0
20,2012-07-25,1,0
236,2012-07-25,1,0
19,2012-07-25,1,0
253,2012-07-26,1,0
22,2012-07-26,1,0
16,2012-07-26,1,0
38,2012-07-27,1,0
28,2012-07-27,1,0
303,2012-07-27,1,0
273,2012-07-28,1,0
21,2012-07-28,1,0
25,2012-07-28,1,0
20,2012-07-29,1,0
22,2012-07-29,1,0
245,2012-07-29,1,0
28,2012-07-30,1,0
255,2012-07-30,1,0
15,2012-07-30,1,0
38,2012-07-31,1,0
250,2012-07-31,1,0
30,2012-07-31,1,0
251,2012-08-01,1,0
23,2012-08-01,1,0
15,2012-08-01,1,0
16,2012-08-02,1,0
246,2012-08-02,1,0
43,2012-08-02,1,0
50,2012-08-03,1,0
300,2012-08-03,1,0
23,2012-08-03,1,0
54,2012-08-04,1,0
28,2012-08-04,1,0
256,2012-08-04,1,0
262,2012-08-05,1,0
17,2012-08-05,1,0
44,2012-08-05,1,0
280,2012-08-06,1,0
26,2012-08-06,1,0
38,2012-08-06,1,0
21,2012-08-07,1,0
219,2012-08-07,1,0
49,2012-08-07,1,0
18,2012-08-08,1,0
41,2012-08-08,1,0
275,2012-08-08,1,0
276,2012-08-09,1,0
12,2012-08-09,1,0
62,2012-08-09,1,0
39,2012-08-10,1,0
359,2012-08-10,1,0
107,2012-08-10,1,0
42,2012-08-11,1,0
87,2012-08-11,1,0
301,2012-08-11,1,0
45,2012-08-12,1,0
299,2012-08-12,1,0
89,2012-08-12,1,0
72,2012-08-13,1,0
28,2012-08-13,1,0
260,2012-08-13,1,0
74,2012-08-14,1,0
257,2012-08-14,1,0
29,2012-08-14,1,0
85,2012-08-15,1,0
24,2012-08-15,1,0
268,2012-08-15,1,0
273,2012-08-16,1,0
74,2012-08-16,1,0
26,2012-08-16,1,0
128,2012-08-17,1,0
322,2012-08-17,1,0
39,2012-08-17,1,0
34,2012-08-18,1,0
329,2012-08-18,1,0
87,2012-08-18,1,0
69,2012-08-19,1,0
22,2012-08-19,1,0
293,2012-08-19,1,0
269,2012-08-20,1,0
23,2012-08-20,1,0
72,2012-08-20,1,0
265,2012-08-21,1,0
65,2012-08-21,1,0
27,2012-08-21,1,0
27,2012-08-22,1,0
70,2012-08-22,1,0
266,2012-08-22,1,0
294,2012-08-23,1,0
33,2012-08-23,1,0
70,2012-08-23,1,0
318,2012-08-24,1,0
26,2012-08-24,1,0
111,2012-08-24,1,0
319,2012-08-25,1,0
38,2012-08-25,1,0
107,2012-08-25,1,0
76,2012-08-26,1,0
27,2012-08-26,1,0
274,2012-08-26,1,0
256,2012-08-27,1,0
28,2012-08-27,1,0
87,2012-08-27,1,0
231,2012-08-28,1,0
24,2012-08-28,1,0
73,2012-08-28,1,0
4,2012-08-28,1,0
21,2012-08-29,1,0
