Day,Month,Year,City,Count,WeekDay,DayForStartYear,isWeekend,DayForStartTrainPeriod
6,10,2011,Сыктывкар-1,8,3,278,0,0
7,10,2011,Сыктывкар-1,88,4,279,0,1
9,10,2011,Сыктывкар-1,1,6,281,1,3
15,11,2011,Сыктывкар-1,1,1,318,0,40
8,12,2011,Сыктывкар-1,2,3,341,0,63
9,12,2011,Сыктывкар-1,43,4,342,0,64
10,12,2011,Сыктывкар-1,10,5,343,1,65
11,12,2011,Сыктывкар-1,1,6,344,1,66
13,12,2011,Сыктывкар-1,60,1,346,0,68
15,12,2011,Сыктывкар-1,96,3,348,0,70
16,12,2011,Сыктывкар-1,134,4,349,0,71
17,12,2011,Сыктывкар-1,112,5,350,1,72
18,12,2011,Сыктывкар-1,100,6,351,1,73
20,12,2011,Сыктывкар-1,73,1,353,0,75
21,12,2011,Сыктывкар-1,94,2,354,0,76
22,12,2011,Сыктывкар-1,94,3,355,0,77
23,12,2011,Сыктывкар-1,129,4,356,0,78
24,12,2011,Сыктывкар-1,164,5,357,1,79
25,12,2011,Сыктывкар-1,122,6,358,1,80
28,12,2011,Сыктывкар-1,128,2,361,0,83
29,12,2011,Сыктывкар-1,172,3,362,0,84
30,12,2011,Сыктывкар-1,223,4,363,0,85
31,12,2011,Сыктывкар-1,68,5,364,1,86
1,1,2012,Сыктывкар-1,100,6,0,1,87
2,1,2012,Сыктывкар-1,169,0,1,0,88
3,1,2012,Сыктывкар-1,142,1,2,0,89
4,1,2012,Сыктывкар-1,130,2,3,0,90
5,1,2012,Сыктывкар-1,119,3,4,0,91
6,1,2012,Сыктывкар-1,128,4,5,0,92
7,1,2012,Сыктывкар-1,128,5,6,1,93
8,1,2012,Сыктывкар-1,136,6,7,1,94
9,1,2012,Сыктывкар-1,105,0,8,0,95
10,1,2012,Сыктывкар-1,129,1,9,0,96
11,1,2012,Сыктывкар-1,101,2,10,0,97
13,1,2012,Сыктывкар-1,215,4,12,0,99
14,1,2012,Сыктывкар-1,174,5,13,1,100
15,1,2012,Сыктывкар-1,123,6,14,1,101
16,1,2012,Сыктывкар-1,111,0,15,0,102
17,1,2012,Сыктывкар-1,99,1,16,0,103
18,1,2012,Сыктывкар-1,113,2,17,0,104
19,1,2012,Сыктывкар-1,135,3,18,0,105
20,1,2012,Сыктывкар-1,163,4,19,0,106
21,1,2012,Сыктывкар-1,218,5,20,1,107
22,1,2012,Сыктывкар-1,162,6,21,1,108
23,1,2012,Сыктывкар-1,114,0,22,0,109
24,1,2012,Сыктывкар-1,122,1,23,0,110
25,1,2012,Сыктывкар-1,149,2,24,0,111
27,1,2012,Сыктывкар-1,165,4,26,0,113
28,1,2012,Сыктывкар-1,163,5,27,1,114
29,1,2012,Сыктывкар-1,157,6,28,1,115
30,1,2012,Сыктывкар-1,86,0,29,0,116
31,1,2012,Сыктывкар-1,109,1,30,0,117
1,2,2012,Сыктывкар-1,142,2,31,0,118
3,2,2012,Сыктывкар-1,173,4,33,0,120
5,2,2012,Сыктывкар-1,131,6,35,1,122
6,2,2012,Сыктывкар-1,98,0,36,0,123
7,2,2012,Сыктывкар-1,89,1,37,0,124
8,2,2012,Сыктывкар-1,100,2,38,0,125
9,2,2012,Сыктывкар-1,91,3,39,0,126
10,2,2012,Сыктывкар-1,141,4,40,0,127
12,2,2012,Сыктывкар-1,137,6,42,1,129
