Date,Point,Count
10.06.2014,Ульяновск-1,51
01.05.2016,Октябрьский-1,97
19.06.2013,Ухта-1,89
20.12.2015,Одинцово-1,122
08.08.2016,Смоленск-2,166
08.04.2016,Волжский-1,92
08.02.2016,Уссурийск-1,55
24.02.2013,Челябинск-1,69
12.09.2015,Бугульма-1,170
20.05.2014,Октябрьский-1,53
11.10.2014,Октябрьский-1,104
12.12.2015,Бугульма-1,179
03.03.2016,Челябинск-1,101
04.09.2015,Махачкала-1,109
29.08.2016,Калининград-2,72
25.12.2015,Майкоп-1,125
10.06.2016,Калининград-1,131
15.08.2016,Химки-1,135
08.09.2014,Ульяновск-2,62
15.01.2016,Калуга-1,128
01.07.2014,Челябинск-1,92
18.10.2016,Троицк-1,28
21.05.2013,Самара-1,87
28.02.2015,Королев-1,90
19.08.2016,Нижнекамск-1,85
13.10.2016,Москва 1-3,60
01.07.2016,Ухта-2,64
09.10.2014,Красноярск-1,15
05.03.2016,Балашиха-1,144
05.06.2014,Сыктывкар-3,82
11.08.2016,Химки-1,161
05.01.2014,Ухта-1,204
22.01.2016,Новочебоксарск-1,65
29.09.2016,Ульяновск-2,122
19.01.2015,Смоленск-2,130
07.04.2016,Домодедово-1,47
22.11.2015,Самара-1,233
09.09.2015,Смоленск-2,155
08.08.2014,Ухта-1,176
15.01.2015,Долгопрудный-1,150
09.01.2016,Ульяновск-2,241
06.03.2016,Одинцово-1,186
11.03.2016,Колпино-1,91
12.08.2016,Электросталь-1,60
05.10.2015,Сарапул-1,38
01.06.2015,Альметьевск-1,76
20.09.2016,Электросталь-1,60
10.07.2016,Ростов-на-Дону-2,191
03.02.2016,Одинцово-1,76
09.08.2014,Сыктывкар-4,105
11.07.2016,Одинцово-1,99
01.09.2016,Калининград-2,188
02.08.2015,Нижнекамск-1,66
05.04.2016,Вологда-1,61
20.10.2014,Челябинск-1,73
27.12.2015,Чайковский-1,73
17.04.2016,Казань-1,170
20.01.2016,Комсомольск-на-Амуре-1,105
05.07.2016,Самара-5,134
05.08.2015,Энгельс-1,28
23.05.2014,Сарапул-1,97
05.03.2016,Саратов-1,149
13.09.2013,Сарапул-1,70
06.05.2016,Сыктывкар-4,43
09.03.2016,Одинцово-1,82
15.07.2016,Петрозаводск-1,56
30.08.2013,Сыктывкар-1,426
21.03.2016,Альметьевск-1,52
20.11.2015,Химки-1,148
27.03.2012,Сыктывкар-1,93
27.06.2015,Альметьевск-1,141
03.02.2013,Смоленск-1,96
11.05.2014,Сыктывкар-3,93
12.12.2012,Белгород-1,5
24.12.2015,Химки-1,127
06.11.2015,Гатчина-1,72
28.02.2016,Щелково-1,31
13.11.2015,Тюмень-1,186
24.02.2016,Нижневартовск-1,76
15.09.2016,Самара-5,155
10.08.2014,Энгельс-1,48
10.02.2015,Нижнекамск-1,12
16.09.2016,Домодедово-1,99
28.02.2016,Новороссийск-1,104
16.09.2016,Ухта-2,54
05.07.2016,Долгопрудный-1,178
15.02.2014,Долгопрудный-1,39
14.05.2015,Махачкала-1,69
18.09.2015,Мытищи-1,84
10.06.2016,Пушкино-1,92
